gene,HR,95% CI,p.value
ENSG00000107562,0.58,(0.35-0.96),0.0328
ENSG00000116260,1.71,(1.1-2.7),0.0175
ENSG00000243189,0.617,(0.39-0.97),0.0368
ENSG00000242361,0.617,(0.39-0.97),0.0368
ENSG00000243215,0.617,(0.39-0.97),0.0368
ENSG00000241394,0.617,(0.39-0.97),0.0368
ENSG00000204257,0.617,(0.39-0.97),0.0368
ENSG00000242685,0.617,(0.39-0.97),0.0368
ENSG00000239463,0.617,(0.39-0.97),0.0368
ENSG00000243719,0.617,(0.39-0.97),0.0368
ENSG00000076242,17.3,(3.6-83),0.000375
ENSG00000073849,0.422,(0.23-0.79),0.00693
ENSG00000162736,8.62,(1.9-40),0.00598
ENSG00000161542,0.221,(0.053-0.91),0.0371
ENSG00000186205,8.35,(2.8-25),0.000152
ENSG00000281917,2.68,(1.1-6.5),0.0311
ENSG00000155380,2.68,(1.1-6.5),0.0311
ENSG00000132254,75.7,(3.2-1800),0.00742
ENSG00000143569,9.04,(1.3-61),0.0234
ENSG00000117691,4.28,(1.1-17),0.0381
ENSG00000006125,0.27,(0.11-0.68),0.00518
ENSG00000025772,7.63,(1.3-45),0.025
ENSG00000213995,0.163,(0.033-0.79),0.0247
ENSG00000051620,3,(1.2-7.7),0.0221
ENSG00000176986,740,(21-26000),0.000287
ENSG00000141556,0.203,(0.059-0.7),0.0118
ENSG00000278759,0.203,(0.059-0.7),0.0118
ENSG00000137193,0.298,(0.11-0.83),0.02
ENSG00000101193,6.57,(1.4-31),0.0164
ENSG00000162694,3.97,(1.2-13),0.0214
ENSG00000285025,13.4,(1.1-170),0.0432
ENSG00000100335,13.4,(1.1-170),0.0432
ENSG00000130303,0.412,(0.2-0.83),0.0134
ENSG00000107485,1.75,(1.3-2.4),0.00055
ENSG00000124155,5.51,(1.7-18),0.00543
ENSG00000111679,0.163,(0.035-0.77),0.0222
ENSG00000112576,0.27,(0.11-0.66),0.00409
ENSG00000074201,13.3,(1.7-110),0.0142
ENSG00000169398,18.2,(2.3-150),0.00646
ENSG00000131378,0.529,(0.3-0.95),0.0317
ENSG00000242574,0.409,(0.19-0.88),0.0227
ENSG00000242386,0.409,(0.19-0.88),0.0227
ENSG00000226264,0.409,(0.19-0.88),0.0227
ENSG00000234154,0.409,(0.19-0.88),0.0227
ENSG00000239329,0.409,(0.19-0.88),0.0227
ENSG00000242092,0.409,(0.19-0.88),0.0227
ENSG00000241674,0.409,(0.19-0.88),0.0227
ENSG00000241296,0.409,(0.19-0.88),0.0227
ENSG00000163565,0.603,(0.37-0.98),0.0398
ENSG00000145833,19,(1.7-220),0.0178
ENSG00000282853,9.83,(1.4-67),0.0195
ENSG00000104823,9.83,(1.4-67),0.0195
ENSG00000160753,19.1,(3.7-99),0.000455
ENSG00000213024,463,(13-17000),0.000828
ENSG00000137106,26.8,(3.1-230),0.00274
ENSG00000134285,0.303,(0.14-0.64),0.00157
ENSG00000134884,0.155,(0.032-0.75),0.021
ENSG00000172939,25.9,(3.8-180),0.000888
ENSG00000124222,0.186,(0.043-0.82),0.0258
ENSG00000175354,0.0238,(0.0033-0.17),0.000192
ENSG00000017797,2.35,(1.1-5.2),0.0348
ENSG00000131844,26.8,(2-370),0.0139
ENSG00000281742,26.8,(2-370),0.0139
ENSG00000275300,26.8,(2-370),0.0139
ENSG00000067113,0.199,(0.074-0.54),0.00153
ENSG00000065485,2.79,(1.3-6),0.00919
ENSG00000103202,3.83,(1.7-8.4),0.000817
ENSG00000143436,8.11,(1.1-59),0.0388
ENSG00000187239,0.317,(0.11-0.93),0.0368
ENSG00000197965,2.61,(1.4-4.9),0.00278
ENSG00000058091,0.266,(0.082-0.86),0.0277
ENSG00000181929,12.4,(1.4-110),0.0253
ENSG00000179912,0.133,(0.02-0.88),0.0366
ENSG00000079819,0.355,(0.18-0.69),0.00217
