,ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B
PNP,ENSG00000198805,1.557255704,8.575593078,4.400288439,0.000117371,0.001094212,0.409996862
RUSC1,ENSG00000160753,1.557249848,10.11282099,5.117547844,1.51E-05,0.000189022,2.434199207
HMGA2,ENSG00000149948,1.556066746,7.826022547,1.618781655,0.115557131,0.280932835,-6.027960845
ETHE1,ENSG00000105755,1.554629053,8.852192156,4.737265881,4.49E-05,0.000481158,1.355073031
STK26,ENSG00000134602,1.553381412,7.635607161,2.117296674,0.042303345,0.13527441,-5.168989973
UBE2C,ENSG00000175063,1.552587486,9.966106183,3.675097695,0.000886782,0.00599626,-1.559103791
L1TD1,ENSG00000240563,1.550292015,9.544767668,1.805587017,0.080637317,0.217091103,-5.727695415
NIT2,ENSG00000114021,1.545797551,8.897920612,5.966529151,1.32E-06,2.33E-05,4.858399982
S100A13,ENSG00000189171,1.543467379,10.68942032,4.885375244,2.94E-05,0.0003363,1.774157455
RAB17,ENSG00000124839,1.542983709,7.747100647,2.424924649,0.021288982,0.079814187,-4.5536286
FLRT3,ENSG00000125848,1.540507606,7.075554519,1.692215844,0.100566829,0.254732561,-5.913165995
RAB3B,ENSG00000169213,1.539624973,7.029854414,3.570456385,0.001178053,0.007631251,-1.832836647
HLA-E,ENSG00000204592,1.539452511,10.33883412,3.963604465,0.000400614,0.003061545,-0.789187655
IDH2,ENSG00000182054,1.536373139,8.283128558,5.861130146,1.78E-06,3.02E-05,4.557798177
CCNF,ENSG00000162063,1.535554567,8.581925634,6.926182448,8.76E-08,2.10E-06,7.567472862
PECAM1,ENSG00000261371,1.533714297,8.89165402,4.692202089,5.11E-05,0.000537353,1.227949632
ACP5,ENSG00000102575,1.530797237,8.062769656,2.837948226,0.007912487,0.03544171,-3.64121873
C5,ENSG00000106804,1.5296311,7.809356243,1.692339349,0.100543055,0.254717367,-5.912969348
RAC2,ENSG00000128340,1.527396276,8.944477285,3.265798784,0.002652442,0.014788654,-2.609948593
SPRY2,ENSG00000136158,1.522846404,7.824298182,2.651318545,0.012484868,0.051808766,-4.064737357
POU2AF1,ENSG00000110777,1.522131437,6.838290005,2.198416001,0.035459203,0.118024372,-5.012571456
TBX3,ENSG00000135111,1.522010743,7.872530454,2.228128125,0.033211526,0.112742942,-4.954201885
COL5A1,ENSG00000130635,1.521431415,8.12807993,3.686896898,0.000858703,0.005828687,-1.528040641
LPCAT4,ENSG00000176454,1.521189412,7.614155111,4.062746932,0.000303861,0.002454353,-0.520099709
PLSCR1,ENSG00000188313,1.517830631,9.692962242,4.149326658,0.000238403,0.001989565,-0.283465222
SLC25A13,ENSG00000004864,1.517450329,8.417243215,4.403807887,0.000116204,0.00108475,0.419792881
MYBL2,ENSG00000101057,1.513647762,10.00779058,3.342055832,0.002169825,0.01262852,-2.41842467
MYCL,ENSG00000116990,1.510521246,8.646932797,4.290830149,0.000160022,0.001427741,0.106262364
PDPN,ENSG00000162493,1.510222278,7.686248016,1.906965011,0.065766392,0.186977505,-5.553635064
COL6A2,ENSG00000142173,1.508137857,9.704986598,2.839312595,0.007885755,0.035366194,-3.638059028
GYG2,ENSG00000056998,1.507811801,8.004982804,4.358141253,0.00013227,0.001207194,0.292825909
COL5A2,ENSG00000204262,1.507675892,7.782785997,2.888735675,0.006972686,0.032033223,-3.523005546
IGLV2-14,ENSG00000211666,1.506998959,9.554457837,1.770238573,0.086456436,0.228862789,-5.78658018
PLAAT4,ENSG00000133321,1.506930379,7.404013157,2.457703776,0.019733799,0.075103748,-4.484637494
PCLAF,ENSG00000166803,1.500176402,9.553913165,3.313025002,0.002342683,0.013465026,-2.491586255
MRS2,ENSG00000124532,1.499735918,8.155010345,4.88141866,2.97E-05,0.00033987,1.762939141
NME1,ENSG00000239672,1.499660503,10.64660752,5.526825764,4.64E-06,6.90E-05,3.602768033
CEBPA,ENSG00000245848,1.497839995,9.000851345,4.375031283,0.000126087,0.001165616,0.339749231
PTBP1,ENSG00000011304,1.496949882,11.53304674,7.817958816,7.65E-09,2.46E-07,10.01271534
RPL10A,ENSG00000198755,1.496346287,11.86565479,5.810077705,2.06E-06,3.41E-05,4.412077647
MXRA5,ENSG00000101825,1.496103598,7.808810795,2.871768759,0.007274305,0.033153155,-3.562633303
LRP4,ENSG00000134569,1.496083041,7.934423205,3.305729422,0.002388158,0.013682496,-2.509924378
PUDP,ENSG00000130021,1.49489199,9.099165098,4.725037346,4.65E-05,0.000495754,1.320557398
POP7,ENSG00000172336,1.492491295,9.043049569,6.044879836,1.05E-06,1.94E-05,5.081604654
DSCC1,ENSG00000136982,1.48760613,7.55484676,3.237416326,0.002857089,0.015679523,-2.680684517
POLR3K,ENSG00000161980,1.486640694,8.364796208,6.571785539,2.36E-07,5.14E-06,6.57441289
ZIC3,ENSG00000156925,1.483479669,6.645012159,1.990391455,0.055367269,0.164733721,-5.404780461
IGKV1D-13,ENSG00000276566,1.476642381,10.05358955,1.799522672,0.081611291,0.219097648,-5.737864827
SPRY4,ENSG00000187678,1.473081266,9.363676618,2.853835966,0.007606407,0.03441497,-3.604369643
CXCL10,ENSG00000169245,1.47177525,8.187972446,1.964132341,0.05847402,0.171274373,-5.452170032
RRP9,ENSG00000114767,1.471404531,9.062458787,3.996695008,0.000365369,0.002840497,-0.699608656
LSM5,ENSG00000106355,1.468467534,9.572723846,3.380916332,0.001957522,0.01167749,-2.320023689
PIEZO1,ENSG00000103335,1.46370295,8.414577393,5.640974447,3.34E-06,5.16E-05,3.929019465
FTL,ENSG00000087086,1.461891066,13.07050945,6.698167317,1.66E-07,3.76E-06,6.929728374
S100A11,ENSG00000163191,1.454731465,9.948690659,3.955683706,0.000409532,0.003116401,-0.810593986
IGLV3-25,ENSG00000211659,1.454458324,6.978978519,1.71821784,0.095664079,0.246010516,-5.871502761
SOX4,ENSG00000124766,1.45398988,10.5076219,4.077884492,0.000291264,0.002367285,-0.478833369
SOAT2,ENSG00000167780,1.453838646,7.628447968,3.903677185,0.000473102,0.003516119,-0.950791402
RIPK4,ENSG00000183421,1.45202661,9.426065766,3.912410678,0.000461791,0.003448237,-0.927291425
MSH2,ENSG00000095002,1.45189835,8.87801429,3.410788406,0.001808057,0.010945351,-2.244026931
SNN,ENSG00000184602,1.451442034,8.05244148,6.73488163,1.49E-07,3.40E-06,7.032712485
GCNT1,ENSG00000187210,1.442029859,7.956380836,2.962544252,0.005792516,0.027833992,-3.349073052
QPCT,ENSG00000115828,1.441212761,6.612069019,2.649649213,0.012535109,0.051957064,-4.068445102
PLBD1,ENSG00000121316,1.439836496,9.885388634,1.492971084,0.145485867,0.332801244,-6.214550447
PSMB9,ENSG00000239836,1.43963115,7.981043454,2.310563531,0.027629897,0.097586589,-4.789313365
ZNF146,ENSG00000167635,1.439044448,9.315326633,4.114741843,0.000262697,0.002165816,-0.378165792
SPTSSA,ENSG00000165389,1.437787336,9.391663974,4.134115422,0.000248804,0.00206673,-0.325144931
BTG2,ENSG00000159388,1.43598552,9.294757384,4.760212596,4.20E-05,0.000455663,1.419878875
PRDX1,ENSG00000117450,1.431908527,12.33926879,5.522107606,4.70E-06,6.98E-05,3.589282324
TOMM20,ENSG00000173726,1.42597658,10.30070411,3.9135051,0.000460392,0.003441291,-0.924345314
COL4A5,ENSG00000188153,1.423457359,7.664615825,1.928996102,0.062867769,0.180636107,-5.514811271
XCL1,ENSG00000143184,1.421625396,7.585021259,3.937443531,0.000430814,0.003257589,-0.859835584
PCYOX1,ENSG00000116005,1.418971411,6.599056964,3.10902151,0.00398674,0.020645465,-2.996772513
TSPAN9,ENSG00000011105,1.413411792,8.578294302,6.278326846,5.41E-07,1.07E-05,5.744996921
SLC1A1,ENSG00000106688,1.411390696,6.385191845,2.370003869,0.024147172,0.087967745,-4.667799433
VIL1,ENSG00000127831,1.407501877,6.731619468,2.397139627,0.022693983,0.08402999,-4.611613574
IFI16,ENSG00000163565,1.405325149,9.361543004,2.034442092,0.050478913,0.153910178,-5.324193266
EPHB4,ENSG00000196411,1.404473101,9.585364988,4.057185186,0.000308622,0.002481619,-0.535249836
YWHAH,ENSG00000128245,1.402153824,8.825642982,5.661411407,3.15E-06,4.90E-05,3.987421991
RPL14,ENSG00000188846,1.40091495,12.91707557,7.102572967,5.37E-08,1.36E-06,8.057629038
RBMS1,ENSG00000153250,1.400565929,9.683852299,7.142126127,4.81E-08,1.24E-06,8.16713178
ZIC1,ENSG00000152977,1.400179374,6.835069325,2.208367391,0.034691672,0.116334419,-4.993085435
COCH,ENSG00000100473,1.399093475,7.390284448,1.694788426,0.100072579,0.253749775,-5.909067419
ICAM2,ENSG00000108622,1.398821988,7.613087576,4.507735278,8.65E-05,0.000833326,0.709839355
ZNF107,ENSG00000196247,1.398348759,6.30845244,3.031384602,0.004864131,0.024174552,-3.18464897
RMND1,ENSG00000155906,1.396613172,7.545971071,3.322301849,0.002286057,0.013176555,-2.468240233
ANP32A,ENSG00000140350,1.396452274,10.07161752,4.021687652,0.00034078,0.002675638,-0.63179419
CLDN6,ENSG00000184697,1.395906283,8.955837254,4.810032361,3.64E-05,0.000406476,1.560741102
CTSZ,ENSG00000101160,1.394162025,8.151961692,3.001522244,0.005248081,0.025586848,-3.2562299
LEFTY2,ENSG00000143768,1.386305054,8.827452393,1.775328471,0.085597204,0.227091712,-5.778159673
ANPEP,ENSG00000166825,1.385667815,6.346921774,2.724877455,0.010448023,0.044503483,-3.899912018
NID2,ENSG00000087303,1.384616174,7.945087947,3.739417546,0.000743855,0.005164098,-1.389307039
IL32,ENSG00000008517,1.384598806,8.312967219,2.369515558,0.024174081,0.087989991,-4.66880645
RBMX,ENSG00000147274,1.383165904,10.54331566,5.56849931,4.12E-06,6.21E-05,3.721881807
PBX1,ENSG00000185630,1.378991392,9.806065248,3.725366854,0.000773026,0.005348474,-1.426495511
PRSS8,ENSG00000052344,1.378585253,7.472954897,3.229783665,0.00291465,0.015940468,-2.699654982
PCGF2,ENSG00000277258,1.376413875,9.211829644,4.916145372,2.69E-05,0.000312865,1.861440316
CCNC,ENSG00000112237,1.375620241,9.617020035,4.587659998,6.89E-05,0.0006871,0.933845655
CHD7,ENSG00000171316,1.375076169,8.647761061,4.099602388,0.000274082,0.002248038,-0.419548239
PIM1,ENSG00000137193,1.374854058,8.995547525,3.16615668,0.003439561,0.018260642,-2.856920379
NOP56,ENSG00000101361,1.372790182,9.889891003,3.605500068,0.001071459,0.00702973,-1.741522908
SLC39A8,ENSG00000138821,1.36950063,6.750946071,2.464522091,0.019423666,0.074120296,-4.470208215
SLC7A6,ENSG00000103064,1.365737979,9.167181405,5.629102232,3.46E-06,5.31E-05,3.895090503
IQGAP1,ENSG00000140575,1.364936848,9.132918804,5.314665931,8.54E-06,0.000116477,2.996543947
LDHB,ENSG00000111716,1.364927163,12.55428405,5.222940602,1.11E-05,0.000146775,2.734706599
IGFBP6,ENSG00000167779,1.364630641,9.190768517,2.477928091,0.018826871,0.072305074,-4.441759447
MCM5,ENSG00000100297,1.363750804,9.97575848,4.419754031,0.000111061,0.00103945,0.464199609
ARSL,ENSG00000157399,1.362792527,6.950108214,2.684958683,0.011511429,0.04840002,-3.98970737
PHLDA3,ENSG00000174307,1.36009473,9.019818606,2.553160213,0.015778738,0.062629787,-4.280213098
NOP10,ENSG00000182117,1.357829489,10.63517941,4.467477472,9.70E-05,0.000923916,0.597312201
RPS19,ENSG00000105372,1.355683346,13.2441681,6.20704014,6.63E-07,1.29E-05,5.542713249
CNPY2,ENSG00000257727,1.353246886,10.40137823,5.479926781,5.31E-06,7.64E-05,3.468721541
CREB3L2,ENSG00000182158,1.35122323,9.222054765,5.195013161,1.21E-05,0.000157319,2.655036078
HCK,ENSG00000101336,1.350509981,7.246396435,2.97032479,0.005679745,0.027365522,-3.330594129
TCIRG1,ENSG00000110719,1.349939298,8.010985205,4.218838767,0.000196064,0.001679262,-0.092454358
MAGOHB,ENSG00000111196,1.34926396,6.949304308,3.525549516,0.001329737,0.008464591,-1.949305156
RPL23,ENSG00000125691,1.349051158,12.07559093,5.796692746,2.14E-06,3.53E-05,4.373861848
TRANK1,ENSG00000168016,1.346721882,7.939304452,2.573365583,0.015041346,0.060399487,-4.236286825
TIGAR,ENSG00000078237,1.346320147,8.333916796,2.920364641,0.006441599,0.030183675,-3.448775843
CKAP4,ENSG00000136026,1.344661283,9.956728918,3.660532792,0.000922675,0.00621288,-1.597394112
TMC6,ENSG00000141524,1.340632227,8.069057242,4.798946619,3.76E-05,0.000416934,1.529378312
TSPAN6,ENSG00000000003,1.339645373,9.890739307,3.422089677,0.001754427,0.010692977,-2.215196435
PSMB8,ENSG00000204264,1.339406263,7.472333631,2.72542719,0.010434039,0.044470358,-3.898669715
IGHV1-69,ENSG00000211973,1.337857398,7.909388072,1.909768636,0.065391217,0.186169432,-5.548713975
IER3,ENSG00000137331,1.336386778,8.394512892,3.282989169,0.0025354,0.014303053,-2.566959572
AZIN1,ENSG00000155096,1.335942812,10.59475655,2.946104017,0.006037797,0.028790546,-3.388029676
TRIL,ENSG00000255690,1.33485649,7.715733751,3.457593701,0.001595733,0.009847227,-2.124344582
CD14,ENSG00000170458,1.332960048,8.654597872,3.298363827,0.002434928,0.013905974,-2.528418863
ELMO1,ENSG00000155849,1.331325229,8.422808973,4.181435176,0.000217833,0.001841526,-0.195344037
DOCK4,ENSG00000128512,1.330608239,6.920976432,2.68824043,0.011420344,0.048059356,-3.982356232
STOM,ENSG00000148175,1.326221324,9.9149328,2.39419453,0.022847756,0.084530616,-4.617732866
PPIB,ENSG00000166794,1.324954701,10.52816387,5.489743412,5.16E-06,7.48E-05,3.496778684
S100A14,ENSG00000189334,1.324936648,7.526704709,2.9057375,0.006682284,0.031037422,-3.483161601
GPRC5C,ENSG00000170412,1.324208791,7.877414103,4.102522563,0.000271849,0.002236122,-0.411569674
ACTG2,ENSG00000163017,1.322943642,7.523618842,2.570245973,0.01515308,0.06069038,-4.243083512
H2BC9,ENSG00000275713,1.318933191,7.731220817,2.692303447,0.011308503,0.04768674,-3.973247307
VANGL1,ENSG00000173218,1.314481216,7.444646619,2.79785875,0.008736978,0.038461492,-3.733659653
IRF7,ENSG00000185507,1.31442679,7.840160568,2.593789775,0.014328416,0.057964956,-4.191657091
PUS7,ENSG00000091127,1.311022026,8.995014568,3.311091845,0.002354652,0.013522967,-2.496447307
ABCD4,ENSG00000119688,1.311021087,8.191902972,3.590973036,0.001114461,0.007281859,-1.779420769
SMPDL3A,ENSG00000172594,1.310294942,7.264706945,2.923626126,0.006389059,0.029966881,-3.441095287
GZMK,ENSG00000113088,1.304050925,8.134900364,2.437970336,0.020657094,0.077791196,-4.526246234
CASP8,ENSG00000064012,1.302627554,7.027215472,2.303075182,0.028099475,0.098879515,-4.80446775
FASN,ENSG00000169710,1.299995034,9.472107613,4.986156203,2.20E-05,0.00026357,2.0602733
UQCRH,ENSG00000173660,1.298540979,11.10793822,3.61757557,0.001036941,0.006837701,-1.70997303
CDC25B,ENSG00000101224,1.295239276,9.549158606,3.897335733,0.000481484,0.003571009,-0.967843727
AHSG,ENSG00000145192,1.295172576,7.316400224,1.248788404,0.22102854,0.446079454,-6.538782045
CA4,ENSG00000167434,1.294019059,6.837472227,1.95742192,0.059291895,0.172892463,-5.464201695
ETS2,ENSG00000157557,1.293662501,7.644806869,2.838789636,0.007895992,0.035389948,-3.639270237
CFLAR,ENSG00000003402,1.292288701,9.51360645,4.139293778,0.000245214,0.00204046,-0.310960838
SOCS2,ENSG00000120833,1.292206661,8.279500682,4.939305709,2.51E-05,0.000296194,1.927180828
ADAMDEC1,ENSG00000134028,1.290790662,7.356414748,1.748096091,0.090279774,0.235706629,-5.822981479
CCT6A,ENSG00000146731,1.290340474,9.824162588,3.947683901,0.000418736,0.00317632,-0.832199684
WDHD1,ENSG00000198554,1.288715069,7.041430562,2.819741871,0.00827744,0.036800322,-3.683296626
HSPB1,ENSG00000106211,1.287268384,10.1905802,4.828391337,3.46E-05,0.00038889,1.612703203
DLG3,ENSG00000082458,1.286130804,8.884947733,4.442179627,0.000104207,0.00097978,0.526711076
TMEM51,ENSG00000171729,1.285929095,7.883417857,4.1326669,0.000249817,0.002072744,-0.329111678
UBQLN2,ENSG00000188021,1.284260164,7.893597385,3.380429718,0.001960052,0.011682858,-2.321259131
DHRS7,ENSG00000100612,1.28159557,8.835843829,4.46465763,9.78E-05,0.000930736,0.589438303
HSPD1,ENSG00000144381,1.280633797,12.29315506,5.077491211,1.69E-05,0.000209175,2.320108232
ASL,ENSG00000126522,1.279455397,7.656372495,2.592889022,0.014359188,0.058073047,-4.193630158
FOXA2,ENSG00000125798,1.278520606,7.72696817,2.200091134,0.03532895,0.117727562,-5.00929584
SPOUT1,ENSG00000198917,1.277254381,7.546545928,3.943600926,0.000423511,0.003205755,-0.843221338
DDAH2,ENSG00000206395,1.277150276,9.062822951,3.630523476,0.001001127,0.006644351,-1.676096335
MIF,ENSG00000240972,1.276726302,11.77313083,4.558467986,7.48E-05,0.000736707,0.851939126
LOC100130283,ENSG00000140650,1.27585201,8.35401911,5.606062289,3.70E-06,5.64E-05,3.829242709
PMM2,ENSG00000140650,1.27585201,8.35401911,5.606062289,3.70E-06,5.64E-05,3.829242709
TMEM63A,ENSG00000196187,1.27558719,8.106194581,4.670051127,5.44E-05,0.000566675,1.165536266
SPP1,ENSG00000118785,1.272779957,8.143392928,1.493281312,0.14540504,0.332669459,-6.214106317
CTSS,ENSG00000163131,1.27199849,8.276032331,2.348758547,0.025343391,0.091541579,-4.711479023
PROCR,ENSG00000101000,1.271204588,6.890153306,3.192362031,0.003213278,0.017324001,-2.792340264
PTPN6,ENSG00000111679,1.269651624,8.680774826,3.910360307,0.000464422,0.003460585,-0.932810135
GMFB,ENSG00000197045,1.26953757,9.95166392,4.785251775,3.91E-05,0.000429969,1.490648555
PGM1,ENSG00000079739,1.267518324,10.04249151,3.249200639,0.00277035,0.015344546,-2.651351995
CDK2,ENSG00000123374,1.26717658,8.927008544,5.27909324,9.46E-06,0.00012686,2.894971654
SNRPB,ENSG00000125835,1.266324498,11.35260404,4.184867119,0.00021574,0.001825957,-0.185913931
RNF125,ENSG00000101695,1.26579095,7.368478821,2.534167025,0.01650214,0.065176174,-4.321297799
CTSE,ENSG00000196188,1.265530257,7.97471377,2.208099883,0.034712109,0.116348493,-4.993610088
CEBPB,ENSG00000172216,1.264619757,9.562573002,3.649850811,0.000949891,0.006378158,-1.625438205
MKI67,ENSG00000148773,1.262422085,8.194802354,4.135246988,0.000248015,0.002061372,-0.322045881
P4HB,ENSG00000185624,1.262275028,11.48784979,5.953955062,1.36E-06,2.40E-05,4.822557512
RPS26,ENSG00000197728,1.261694963,11.79439915,3.416942807,0.001778659,0.0108039,-2.228331884
RPL8,ENSG00000161016,1.261172599,12.79908328,4.545487658,7.77E-05,0.000759585,0.8155517
SLC43A1,ENSG00000149150,1.260271629,9.005879338,2.254481328,0.031325807,0.107667904,-4.901956728
RPL36,ENSG00000130255,1.259465963,11.25382172,4.051687819,0.0003134,0.002510178,-0.550218378
HLA-DMB,ENSG00000226264,1.258182274,8.494468172,2.805813646,0.008567231,0.037830461,-3.715378805
MT1F,ENSG00000198417,1.256859627,10.11054877,2.602575537,0.014031457,0.057037374,-4.172389092
NDUFB11,ENSG00000147123,1.254863654,9.877770653,6.151794998,7.75E-07,1.49E-05,5.385763448
GPR161,ENSG00000143147,1.25464745,7.676000063,4.197673278,0.000208105,0.001769696,-0.150707061
PLCXD1,ENSG00000182378,1.254087142,9.31505982,4.367969451,0.000128637,0.001186887,0.320125069
RAPGEF2,ENSG00000109756,1.253457611,9.73700315,3.571677633,0.001174172,0.007609546,-1.829660636
FGB,ENSG00000171564,1.252932829,7.032624979,1.52881012,0.136384474,0.317971547,-6.162715742
CST4,ENSG00000101441,1.250906354,8.605382494,1.927727644,0.063031606,0.180919936,-5.517056106
PLA2G7,ENSG00000146070,1.250742636,6.1354046,2.391821948,0.022972326,0.084684964,-4.622658827
PLOD1,ENSG00000083444,1.24866092,8.573474044,3.606841569,0.00106757,0.007007423,-1.738020067
IGLV3-10,ENSG00000211669,1.248034522,8.245069814,1.819960582,0.07836829,0.212195622,-5.703481582
PFAS,ENSG00000178921,1.248016577,8.781889565,4.356949731,0.000132717,0.001209735,0.289517289
LLGL2,ENSG00000073350,1.247595053,7.025803159,5.646578417,3.29E-06,5.09E-05,3.945034303
TBC1D16,ENSG00000167291,1.245171515,8.025643051,2.462280309,0.019525138,0.074428227,-4.47495536
NRG1,ENSG00000157168,1.244831645,7.681084081,1.808145694,0.080229355,0.216457621,-5.723396409
RARB,ENSG00000077092,1.243730158,8.466903316,3.915849821,0.000457409,0.003422567,-0.918032548
YWHAZ,ENSG00000164924,1.242948567,11.40306184,4.725004935,4.65E-05,0.000495754,1.320465933
NEB,ENSG00000183091,1.242528363,7.122727936,2.090513394,0.044807789,0.140831501,-5.21967185
ACVR1,ENSG00000115170,1.23912014,8.212259388,3.104422274,0.004034219,0.020838615,-3.007972531
GZMA,ENSG00000145649,1.238458323,6.964519856,2.031616335,0.050780721,0.154193039,-5.329403398
PDIA4,ENSG00000155660,1.235371658,9.912059426,4.829003967,3.45E-05,0.000388513,1.614437628
TGFBR2,ENSG00000163513,1.234892564,8.097348656,3.587733857,0.001124275,0.007332609,-1.787862507
DPPA4,ENSG00000121570,1.23383212,6.299385258,1.584548604,0.123150668,0.294742929,-6.080006428
UGDH,ENSG00000109814,1.231294458,8.685997218,2.988665351,0.005422074,0.026336573,-3.286928443
TCEA1,ENSG00000187735,1.230381249,10.8219529,4.165166974,0.000228027,0.001912999,-0.240015621
AKR1A1,ENSG00000117448,1.230020736,9.687186323,5.235269166,1.07E-05,0.000142446,2.76988538
IL2RG,ENSG00000147168,1.229676431,8.765470563,2.16871998,0.037840652,0.124476287,-5.070336411
TPBG,ENSG00000146242,1.229617643,9.421316571,3.379133803,0.001966807,0.011703645,-2.324548874
VEGFA,ENSG00000112715,1.229397385,9.218591822,3.07974305,0.004298307,0.022004446,-3.067921689
NBEAL2,ENSG00000160796,1.226873846,7.816622203,5.419220181,6.32E-06,8.86E-05,3.295230514
PCSK1N,ENSG00000102109,1.225076193,8.856755726,2.244782152,0.032008346,0.109619404,-4.921236824
